Vf,"E1*
(GPa)","E2*
(GPa)","G12*
(GPa)",v12*,"G23*
(GPa)","K23*
(GPa)"
0,180.000,20.000,15.000,0.2900,10.000,10.190
0.01,180.700,20.049,15.043,0.2899,10.000,10.241
0.02,181.400,20.100,15.086,0.2898,10.000,10.293
0.03,182.100,20.149,15.129,0.2897,10.000,10.344
0.04,182.800,20.199,15.172,0.2896,10.000,10.396
0.05,183.500,20.250,15.216,0.2895,10.000,10.449
0.06,184.200,20.300,15.259,0.2894,10.000,10.501
0.07,184.900,20.350,15.303,0.2893,10.000,10.554
0.08,185.600,20.400,15.347,0.2892,10.000,10.607
0.09,186.300,20.450,15.391,0.2891,10.000,10.660
0.1,187.000,20.500,15.435,0.2890,10.000,10.714
0.11,187.700,20.550,15.479,0.2889,10.000,10.768
0.12,188.400,20.600,15.523,0.2888,10.000,10.822
0.13,189.100,20.650,15.568,0.2887,10.000,10.876
0.14,189.800,20.700,15.612,0.2886,10.000,10.931
0.15,190.500,20.750,15.657,0.2885,10.000,10.986
0.16,191.200,20.800,15.702,0.2884,10.000,11.041
0.17,191.900,20.850,15.747,0.2883,10.000,11.097
0.18,192.600,20.900,15.792,0.2882,10.000,11.153
0.19,193.300,20.950,15.837,0.2881,10.000,11.209
0.2,194.000,21.000,15.882,0.2880,10.000,11.265
0.21,194.700,21.050,15.928,0.2879,10.000,11.322
0.22,195.400,21.100,15.973,0.2878,10.000,11.379
0.23,196.100,21.150,16.019,0.2877,10.000,11.437
0.24,196.800,21.200,16.065,0.2876,10.000,11.494
0.25,197.500,21.250,16.111,0.2875,10.000,11.552
0.26,198.200,21.300,16.157,0.2874,10.000,11.611
0.27,198.900,21.350,16.204,0.2873,10.000,11.669
0.28,199.600,21.400,16.250,0.2872,10.000,11.728
0.29,200.300,21.450,16.297,0.2871,10.000,11.788
0.3,201.000,21.500,16.343,0.2870,10.000,11.847
0.31,201.700,21.550,16.390,0.2869,10.000,11.907
0.32,202.400,21.600,16.437,0.2868,10.000,11.967
0.33,203.100,21.650,16.484,0.2867,10.000,12.028
0.34,203.800,21.700,16.532,0.2866,10.000,12.089
0.35,204.500,21.750,16.579,0.2865,10.000,12.150
0.36,205.200,21.800,16.627,0.2864,10.000,12.212
0.37,205.900,21.850,16.674,0.2863,10.000,12.274
0.38,206.600,21.900,16.722,0.2862,10.000,12.336
0.39,207.300,21.950,16.770,0.2861,10.000,12.399
0.4,208.000,22.000,16.818,0.2860,10.000,12.462
0.41,208.700,22.050,16.866,0.2859,10.000,12.525
0.42,209.400,22.100,16.915,0.2858,10.000,12.589
0.43,210.100,22.150,16.963,0.2857,10.000,12.653
0.44,210.800,22.200,17.012,0.2856,10.000,12.717
0.45,211.500,22.250,17.061,0.2855,10.000,12.782
0.46,212.200,22.300,17.110,0.2854,10.000,12.848
0.47,212.900,22.350,17.159,0.2853,10.000,12.913
0.48,213.600,22.400,17.209,0.2852,10.000,12.979
0.49,214.300,22.450,17.258,0.2851,10.000,13.045
0.5,215.000,22.500,17.308,0.2850,10.000,13.112
0.51,215.700,22.550,17.357,0.2849,10.000,13.179
0.52,216.400,22.600,17.407,0.2848,10.000,13.247
0.53,217.100,22.650,17.457,0.2847,10.000,13.314
0.54,217.800,22.700,17.508,0.2846,10.000,13.383
0.55,218.500,22.750,17.558,0.2845,10.000,13.451
0.56,219.200,22.800,17.609,0.2844,10.000,13.521
0.57,219.900,22.850,17.659,0.2843,10.000,13.590
0.58,220.600,22.900,17.710,0.2842,10.000,13.660
0.59,221.300,22.950,17.761,0.2841,10.000,13.730
0.6,222.000,23.000,17.812,0.2840,10.000,13.801
0.61,222.700,23.050,17.864,0.2839,10.000,13.872
0.62,223.400,23.100,17.915,0.2838,10.000,13.944
0.63,224.100,23.150,17.967,0.2837,10.000,14.016
0.64,224.800,23.200,18.019,0.2836,10.000,14.088
0.65,225.500,23.250,18.071,0.2835,10.000,14.161
0.66,226.200,23.300,18.123,0.2834,10.000,14.234
0.67,226.900,23.350,18.175,0.2833,10.000,14.308
0.68,227.600,23.400,18.228,0.2832,10.000,14.382
0.69,228.300,23.450,18.281,0.2831,10.000,14.457
0.7,229.000,23.500,18.333,0.2830,10.000,14.532
0.71,229.700,23.550,18.386,0.2829,10.000,14.608
0.72,230.400,23.600,18.439,0.2828,10.000,14.684
0.73,231.100,23.650,18.493,0.2827,10.000,14.760
0.74,231.800,23.700,18.546,0.2826,10.000,14.837
0.75,232.500,23.750,18.600,0.2825,10.000,14.915
0.76,233.200,23.800,18.654,0.2824,10.000,14.993
0.77,233.900,23.850,18.708,0.2823,10.000,15.071
0.78,234.600,23.900,18.762,0.2822,10.000,15.150
0.79,235.300,23.950,18.816,0.2821,10.000,15.230
0.8,236.000,24.000,18.871,0.2820,10.000,15.310
0.81,236.700,24.050,18.926,0.2819,10.000,15.390
0.82,237.400,24.100,18.981,0.2818,10.000,15.471
0.83,238.100,24.150,19.036,0.2817,10.000,15.553
0.84,238.800,24.200,19.091,0.2816,10.000,15.635
0.85,239.500,24.250,19.146,0.2815,10.000,15.717
0.86,240.200,24.300,19.202,0.2814,10.000,15.801
0.87,240.900,24.350,19.258,0.2813,10.000,15.884
0.88,241.600,24.400,19.314,0.2812,10.000,15.968
0.89,242.300,24.450,19.370,0.2811,10.000,16.053
0.9,243.000,24.500,19.426,0.2810,10.000,16.138
0.91,243.700,24.550,19.483,0.2809,10.000,16.224
0.92,244.400,24.600,19.539,0.2808,10.000,16.311
0.93,245.100,24.650,19.596,0.2807,10.000,16.398
0.94,245.800,24.700,19.653,0.2806,10.000,16.485
0.95,246.500,24.750,19.711,0.2805,10.000,16.573
0.96,247.200,24.800,19.768,0.2804,10.000,16.662
0.97,247.900,24.850,19.826,0.2803,10.000,16.751
0.98,248.600,24.900,19.884,0.2802,10.000,16.841
0.99,249.300,24.950,19.942,0.2801,10.000,16.932
1,250.000,25.000,20.000,0.2800,10.000,17.023
