Vf,"E1*
(GPa)","E2*
(GPa)","G12*
(GPa)",v12*,"G23*
(GPa)","K23*
(GPa)"
0,180.000,20.000,15.000,0.2900,10.000,10.190
0.01,179.400,20.261,15.154,0.2900,10.099,10.360
0.02,178.800,20.526,15.311,0.2900,10.199,10.532
0.03,178.200,20.793,15.468,0.2900,10.300,10.707
0.04,177.600,21.066,15.628,0.2900,10.403,10.886
0.05,177.000,21.342,15.789,0.2900,10.508,11.067
0.06,176.400,21.622,15.951,0.2900,10.614,11.252
0.07,175.800,21.907,16.116,0.2900,10.722,11.440
0.08,175.200,22.196,16.282,0.2900,10.832,11.631
0.09,174.600,22.488,16.450,0.2900,10.943,11.826
0.1,174.000,22.786,16.620,0.2900,11.056,12.024
0.11,173.400,23.088,16.792,0.2900,11.171,12.226
0.12,172.800,23.395,16.965,0.2900,11.288,12.432
0.13,172.200,23.706,17.140,0.2900,11.406,12.641
0.14,171.600,24.023,17.318,0.2900,11.527,12.855
0.15,171.000,24.344,17.497,0.2900,11.649,13.072
0.16,170.400,24.672,17.679,0.2900,11.774,13.294
0.17,169.800,25.004,17.862,0.2900,11.901,13.520
0.18,169.200,25.341,18.047,0.2900,12.029,13.750
0.19,168.600,25.684,18.235,0.2900,12.160,13.985
0.2,168.000,26.035,18.425,0.2900,12.294,14.225
0.21,167.400,26.389,18.616,0.2900,12.429,14.469
0.22,166.800,26.751,18.811,0.2900,12.567,14.719
0.23,166.200,27.117,19.007,0.2900,12.707,14.973
0.24,165.600,27.492,19.206,0.2900,12.850,15.233
0.25,165.000,27.872,19.407,0.2900,12.995,15.499
0.26,164.400,28.260,19.610,0.2900,13.143,15.770
0.27,163.800,28.655,19.816,0.2900,13.294,16.047
0.28,163.200,29.055,20.024,0.2900,13.447,16.329
0.29,162.600,29.466,20.235,0.2900,13.604,16.619
0.3,162.000,29.882,20.448,0.2900,13.763,16.914
0.31,161.400,30.307,20.664,0.2900,13.925,17.216
0.32,160.800,30.741,20.882,0.2900,14.091,17.525
0.33,160.200,31.181,21.104,0.2900,14.259,17.841
0.34,159.600,31.632,21.327,0.2900,14.431,18.165
0.35,159.000,32.091,21.554,0.2900,14.606,18.496
