Vf,"[1]
E1*
(GPa)","[2]
E1*
(GPa)","[3]
E1*
(GPa)","[4]
E1*
(GPa)"
0,2.800,2.800,180.000,180.000
0.01,5.272,3.972,180.700,179.400
0.02,7.744,5.144,181.400,178.800
0.03,10.216,6.316,182.100,178.200
0.04,12.688,7.488,182.800,177.600
0.05,15.160,8.660,183.500,177.000
0.06,17.632,9.832,184.200,176.400
0.07,20.104,11.004,184.900,175.800
0.08,22.576,12.176,185.600,175.200
0.09,25.048,13.348,186.300,174.600
0.1,27.520,14.520,187.000,174.000
0.11,29.992,15.692,187.700,173.400
0.12,32.464,16.864,188.400,172.800
0.13,34.936,18.036,189.100,172.200
0.14,37.408,19.208,189.800,171.600
0.15,39.880,20.380,190.500,171.000
0.16,42.352,21.552,191.200,170.400
0.17,44.824,22.724,191.900,169.800
0.18,47.296,23.896,192.600,169.200
0.19,49.768,25.068,193.300,168.600
0.2,52.240,26.240,194.000,168.000
0.21,54.712,27.412,194.700,167.400
0.22,57.184,28.584,195.400,166.800
0.23,59.656,29.756,196.100,166.200
0.24,62.128,30.928,196.800,165.600
0.25,64.600,32.100,197.500,165.000
0.26,67.072,33.272,198.200,164.400
0.27,69.544,34.444,198.900,163.800
0.28,72.016,35.616,199.600,163.200
0.29,74.488,36.788,200.300,162.600
0.3,76.960,37.960,201.000,162.000
0.31,79.432,39.132,201.700,161.400
0.32,81.904,40.304,202.400,160.800
0.33,84.376,41.476,203.100,160.200
0.34,86.848,42.648,203.800,159.600
0.35,89.320,43.820,204.500,159.000
0.36,91.792,44.992,205.200,158.400
0.37,94.264,46.164,205.900,157.800
0.38,96.736,47.336,206.600,157.200
0.39,99.208,48.508,207.300,156.600
0.4,101.680,49.680,208.000,156.000
0.41,104.152,50.852,208.700,155.400
0.42,106.624,52.024,209.400,154.800
0.43,109.096,53.196,210.100,154.200
0.44,111.568,54.368,210.800,153.600
0.45,114.040,55.540,211.500,153.000
0.46,116.512,56.712,212.200,152.400
0.47,118.984,57.884,212.900,151.800
0.48,121.456,59.056,213.600,151.200
0.49,123.928,60.228,214.300,150.600
0.5,126.400,61.400,215.000,150.000
0.51,128.872,62.572,215.700,149.400
0.52,131.344,63.744,216.400,148.800
0.53,133.816,64.916,217.100,148.200
0.54,136.288,66.088,217.800,147.600
0.55,138.760,67.260,218.500,147.000
0.56,141.232,68.432,219.200,146.400
0.57,143.704,69.604,219.900,145.800
0.58,146.176,70.776,220.600,145.200
0.59,148.648,71.948,221.300,144.600
0.6,151.120,73.120,222.000,144.000
0.61,153.592,74.292,222.700,143.400
0.62,156.064,75.464,223.400,142.800
0.63,158.536,76.636,224.100,142.200
0.64,161.008,77.808,224.800,141.600
0.65,163.480,78.980,225.500,141.000
0.66,165.952,80.152,226.200,140.400
0.67,168.424,81.324,226.900,139.800
0.68,170.896,82.496,227.600,139.200
0.69,173.368,83.668,228.300,138.600
0.7,175.840,84.840,229.000,138.000
0.71,178.312,86.012,229.700,137.400
0.72,180.784,87.184,230.400,136.800
0.73,183.256,88.356,231.100,136.200
0.74,185.728,89.528,231.800,135.600
0.75,188.200,90.700,232.500,135.000
0.76,190.672,91.872,233.200,134.400
0.77,193.144,93.044,233.900,133.800
0.78,195.616,94.216,234.600,133.200
0.79,198.088,95.388,235.300,132.600
0.8,200.560,96.560,236.000,132.000
0.81,203.032,97.732,236.700,131.400
0.82,205.504,98.904,237.400,130.800
0.83,207.976,100.076,238.100,130.200
0.84,210.448,101.248,238.800,129.600
0.85,212.920,102.420,239.500,129.000
0.86,215.392,103.592,240.200,128.400
0.87,217.864,104.764,240.900,127.800
0.88,220.336,105.936,241.600,127.200
0.89,222.808,107.108,242.300,126.600
0.9,225.280,108.280,243.000,126.000
0.91,227.752,109.452,243.700,125.400
0.92,230.224,110.624,244.400,124.800
0.93,232.696,111.796,245.100,124.200
0.94,235.168,112.968,245.800,123.600
0.95,237.640,114.140,246.500,123.000
0.96,240.112,115.312,247.200,122.400
0.97,242.584,116.484,247.900,121.800
0.98,245.056,117.656,248.600,121.200
0.99,247.528,118.828,249.300,120.600
1,250.000,120.000,250.000,120.000
