Vf,"[1]
G23*
(GPa)","[2]
G23*
(GPa)","[3]
G23*
(GPa)","[4]
G23*
(GPa)"
0,1.077,1.077,10.000,10.000
0.01,1.091,1.093,10.000,10.099
0.02,1.106,1.110,10.000,10.199
0.03,1.120,1.127,10.000,10.300
0.04,1.135,1.144,10.000,10.403
0.05,1.151,1.162,10.000,10.508
0.06,1.166,1.180,10.000,10.614
0.07,1.182,1.198,10.000,10.722
0.08,1.198,1.217,10.000,10.832
0.09,1.214,1.236,10.000,10.943
0.1,1.231,1.256,10.000,11.056
0.11,1.248,1.276,10.000,11.171
0.12,1.265,1.296,10.000,11.288
0.13,1.283,1.317,10.000,11.406
0.14,1.301,1.339,10.000,11.527
0.15,1.319,1.360,10.000,11.649
0.16,1.338,1.383,10.000,11.774
0.17,1.357,1.406,10.000,11.901
0.18,1.376,1.429,10.000,12.029
0.19,1.396,1.453,10.000,12.160
0.2,1.416,1.477,10.000,12.294
0.21,1.437,1.502,10.000,12.429
0.22,1.458,1.528,10.000,12.567
0.23,1.479,1.555,10.000,12.707
0.24,1.501,1.582,10.000,12.850
0.25,1.524,1.609,10.000,12.995
0.26,1.546,1.638,10.000,13.143
0.27,1.570,1.667,10.000,13.294
0.28,1.594,1.697,10.000,13.447
0.29,1.618,1.727,10.000,13.604
0.3,1.643,1.759,10.000,13.763
0.31,1.669,1.791,10.000,13.925
0.32,1.695,1.825,10.000,14.091
0.33,1.722,1.859,10.000,14.259
0.34,1.749,1.894,10.000,14.431
0.35,1.777,1.931,10.000,14.606
0.36,1.806,1.968,10.000,14.785
0.37,1.835,2.006,10.000,14.967
0.38,1.865,2.046,10.000,15.153
0.39,1.896,2.087,10.000,15.343
0.4,1.928,2.129,10.000,15.537
0.41,1.960,2.173,10.000,15.734
0.42,1.993,2.218,10.000,15.936
0.43,2.028,2.264,10.000,16.142
0.44,2.063,2.312,10.000,16.353
0.45,2.099,2.362,10.000,16.568
0.46,2.136,2.413,10.000,16.789
0.47,2.174,2.466,10.000,17.014
0.48,2.213,2.521,10.000,17.244
0.49,2.253,2.578,10.000,17.479
0.5,2.295,2.637,10.000,17.720
0.51,2.338,2.699,10.000,17.966
0.52,2.382,2.762,10.000,18.218
0.53,2.427,2.829,10.000,18.476
0.54,2.474,2.898,10.000,18.741
0.55,2.522,2.970,10.000,19.012
0.56,2.571,3.044,10.000,19.289
0.57,2.623,3.122,10.000,19.574
0.58,2.676,3.204,10.000,19.866
0.59,2.731,3.289,10.000,20.165
0.6,2.787,3.378,10.000,20.472
0.61,2.846,3.471,10.000,20.788
0.62,2.906,3.569,10.000,21.111
0.63,2.969,3.671,10.000,21.444
0.64,3.034,3.779,10.000,21.786
0.65,3.102,3.892,10.000,22.137
0.66,3.172,4.011,10.000,22.498
0.67,3.245,4.136,10.000,22.870
0.68,3.321,4.269,10.000,23.252
0.69,3.399,4.409,10.000,23.646
0.7,3.481,4.558,10.000,24.051
0.71,3.567,4.716,10.000,24.469
0.72,3.656,4.884,10.000,24.900
0.73,3.749,5.062,10.000,25.344
0.74,3.846,5.253,10.000,25.803
0.75,3.947,5.457,10.000,26.276
0.76,4.054,5.676,10.000,26.765
0.77,4.165,5.911,10.000,27.271
0.78,4.282,6.164,10.000,27.793
0.79,4.404,6.438,10.000,28.334
0.8,4.533,6.735,10.000,28.894
0.81,4.669,7.058,10.000,29.474
0.82,4.813,7.411,10.000,30.075
0.83,4.964,7.798,10.000,30.699
0.84,5.124,8.225,10.000,31.347
0.85,5.293,8.697,10.000,32.019
0.86,5.473,9.223,10.000,32.718
0.87,5.664,9.811,10.000,33.445
0.88,5.867,10.475,10.000,34.202
0.89,6.085,11.229,10.000,34.991
0.9,6.317,12.093,10.000,35.814
0.91,6.566,13.093,10.000,36.673
0.92,6.833,14.265,10.000,37.570
0.93,7.122,15.655,10.000,38.509
0.94,7.433,17.333,10.000,39.491
0.95,7.771,19.397,10.000,40.521
0.96,8.139,21.998,10.000,41.601
0.97,8.540,25.377,10.000,42.736
0.98,8.980,29.945,10.000,43.929
0.99,9.464,36.461,10.000,45.186
1,10.000,46.512,10.000,46.512
