Vf,"[1]
K23*
(GPa)","[2]
K23*
(GPa)","[3]
K23*
(GPa)","[4]
K23*
(GPa)"
0,2.692,2.692,10.190,10.190
0.01,2.722,2.729,10.241,10.360
0.02,2.753,2.766,10.293,10.532
0.03,2.784,2.805,10.344,10.707
0.04,2.815,2.844,10.396,10.886
0.05,2.847,2.883,10.449,11.067
0.06,2.880,2.924,10.501,11.252
0.07,2.913,2.965,10.554,11.440
0.08,2.947,3.008,10.607,11.631
0.09,2.981,3.051,10.660,11.826
0.1,3.016,3.095,10.714,12.024
0.11,3.052,3.140,10.768,12.226
0.12,3.088,3.186,10.822,12.432
0.13,3.124,3.233,10.876,12.641
0.14,3.162,3.282,10.931,12.855
0.15,3.200,3.331,10.986,13.072
0.16,3.239,3.381,11.041,13.294
0.17,3.278,3.433,11.097,13.520
0.18,3.318,3.486,11.153,13.750
0.19,3.359,3.540,11.209,13.985
0.2,3.401,3.595,11.265,14.225
0.21,3.444,3.652,11.322,14.469
0.22,3.487,3.710,11.379,14.719
0.23,3.531,3.769,11.437,14.973
0.24,3.576,3.830,11.494,15.233
0.25,3.622,3.892,11.552,15.499
0.26,3.669,3.957,11.611,15.770
0.27,3.717,4.022,11.669,16.047
0.28,3.766,4.090,11.728,16.329
0.29,3.815,4.159,11.788,16.619
0.3,3.866,4.231,11.847,16.914
0.31,3.918,4.304,11.907,17.216
0.32,3.971,4.379,11.967,17.525
0.33,4.025,4.457,12.028,17.841
0.34,4.080,4.536,12.089,18.165
0.35,4.137,4.618,12.150,18.496
0.36,4.195,4.702,12.212,18.835
0.37,4.254,4.789,12.274,19.182
0.38,4.314,4.879,12.336,19.537
0.39,4.376,4.971,12.399,19.902
0.4,4.439,5.067,12.462,20.275
0.41,4.504,5.165,12.525,20.658
0.42,4.570,5.266,12.589,21.051
0.43,4.638,5.371,12.653,21.453
0.44,4.707,5.480,12.717,21.867
0.45,4.778,5.592,12.782,22.291
0.46,4.851,5.708,12.848,22.727
0.47,4.926,5.828,12.913,23.175
0.48,5.003,5.952,12.979,23.635
0.49,5.081,6.081,13.045,24.108
0.5,5.162,6.215,13.112,24.595
0.51,5.245,6.354,13.179,25.096
0.52,5.330,6.498,13.247,25.611
0.53,5.417,6.649,13.314,26.142
0.54,5.507,6.805,13.383,26.689
0.55,5.599,6.967,13.451,27.253
0.56,5.694,7.137,13.521,27.834
0.57,5.792,7.313,13.590,28.434
0.58,5.893,7.498,13.660,29.053
0.59,5.996,7.690,13.730,29.693
0.6,6.103,7.892,13.801,30.353
0.61,6.213,8.103,13.872,31.036
0.62,6.326,8.324,13.944,31.743
0.63,6.443,8.557,14.016,32.474
0.64,6.564,8.801,14.088,33.232
0.65,6.689,9.057,14.161,34.017
0.66,6.817,9.328,14.234,34.831
0.67,6.950,9.613,14.308,35.675
0.68,7.088,9.914,14.382,36.552
0.69,7.231,10.233,14.457,37.464
0.7,7.378,10.570,14.532,38.411
0.71,7.531,10.929,14.608,39.398
0.72,7.690,11.310,14.684,40.425
0.73,7.854,11.716,14.760,41.496
0.74,8.025,12.150,14.837,42.614
0.75,8.202,12.615,14.915,43.781
0.76,8.387,13.113,14.993,45.001
0.77,8.579,13.648,15.071,46.278
0.78,8.779,14.226,15.150,47.615
0.79,8.987,14.851,15.230,49.018
0.8,9.204,15.529,15.310,50.490
0.81,9.431,16.268,15.390,52.038
0.82,9.669,17.075,15.471,53.667
0.83,9.917,17.961,15.553,55.384
0.84,10.177,18.938,15.635,57.197
0.85,10.449,20.020,15.717,59.112
0.86,10.735,21.226,15.801,61.140
0.87,11.036,22.579,15.884,63.291
0.88,11.352,24.106,15.968,65.575
0.89,11.685,25.845,16.053,68.007
0.9,12.037,27.841,16.138,70.601
0.91,12.408,30.156,16.224,73.372
0.92,12.801,32.875,16.311,76.342
0.93,13.218,36.112,16.398,79.530
0.94,13.661,40.032,16.485,82.963
0.95,14.132,44.875,16.573,86.670
0.96,14.634,51.011,16.662,90.684
0.97,15.170,59.039,16.751,95.047
0.98,15.744,69.993,16.841,99.805
0.99,16.360,85.828,16.932,105.014
1,17.023,110.742,17.023,110.742
