Vf,"E1*
(GPa)","E2*
(GPa)","G12*
(GPa)",v12*,"G23*
(GPa)","K23*
(GPa)"
0,2.800,2.800,1.077,0.3000,1.077,2.692
0.01,5.272,2.958,1.097,0.2998,1.091,2.722
0.02,7.744,3.045,1.116,0.2996,1.106,2.753
0.03,10.216,3.108,1.137,0.2994,1.120,2.784
0.04,12.688,3.163,1.157,0.2992,1.135,2.815
0.05,15.160,3.216,1.178,0.2990,1.151,2.847
0.06,17.632,3.265,1.200,0.2988,1.166,2.880
0.07,20.104,3.314,1.221,0.2986,1.182,2.913
0.08,22.576,3.362,1.244,0.2984,1.198,2.947
0.09,25.048,3.409,1.266,0.2982,1.214,2.981
0.1,27.520,3.458,1.289,0.2980,1.231,3.016
0.11,29.992,3.506,1.313,0.2978,1.248,3.052
0.12,32.464,3.555,1.337,0.2976,1.265,3.088
0.13,34.936,3.605,1.362,0.2974,1.283,3.124
0.14,37.408,3.655,1.387,0.2972,1.301,3.162
0.15,39.880,3.705,1.412,0.2970,1.319,3.200
0.16,42.352,3.758,1.438,0.2968,1.338,3.239
0.17,44.824,3.810,1.465,0.2966,1.357,3.278
0.18,47.296,3.863,1.492,0.2964,1.376,3.318
0.19,49.768,3.917,1.520,0.2962,1.396,3.359
0.2,52.240,3.972,1.548,0.2960,1.416,3.401
0.21,54.712,4.030,1.577,0.2958,1.437,3.444
0.22,57.184,4.087,1.607,0.2956,1.458,3.487
0.23,59.656,4.144,1.638,0.2954,1.479,3.531
0.24,62.128,4.204,1.669,0.2952,1.501,3.576
0.25,64.600,4.266,1.700,0.2950,1.524,3.622
0.26,67.072,4.326,1.733,0.2948,1.546,3.669
0.27,69.544,4.391,1.766,0.2946,1.570,3.717
0.28,72.016,4.456,1.800,0.2944,1.594,3.766
0.29,74.488,4.521,1.835,0.2942,1.618,3.815
0.3,76.960,4.588,1.871,0.2940,1.643,3.866
0.31,79.432,4.658,1.908,0.2938,1.669,3.918
0.32,81.904,4.728,1.945,0.2936,1.695,3.971
0.33,84.376,4.800,1.984,0.2934,1.722,4.025
0.34,86.848,4.873,2.023,0.2932,1.749,4.080
0.35,89.320,4.949,2.064,0.2930,1.777,4.137
0.36,91.792,5.026,2.106,0.2928,1.806,4.195
0.37,94.264,5.104,2.148,0.2926,1.835,4.254
0.38,96.736,5.184,2.192,0.2924,1.865,4.314
0.39,99.208,5.267,2.238,0.2922,1.896,4.376
0.4,101.680,5.353,2.284,0.2920,1.928,4.439
0.41,104.152,5.438,2.332,0.2918,1.960,4.504
0.42,106.624,5.527,2.381,0.2916,1.993,4.570
0.43,109.096,5.619,2.431,0.2914,2.028,4.638
0.44,111.568,5.712,2.484,0.2912,2.063,4.707
0.45,114.040,5.808,2.537,0.2910,2.099,4.778
